0.107	-7.62
6.102	4.38
12.091	8.38
18.073	13.38
24.049	9.38
30.018	7.38
35.981	19.38
41.938	16.38
47.888	11.38
53.831	16.38
59.768	18.38
65.699	22.38
71.623	18.38
77.541	21.38
83.453	19.38
89.358	24.38
95.257	29.38
101.149	21.38
107.035	28.38
112.915	38.38
118.789	36.38
124.656	46.38
130.517	47.38
136.371	51.38
142.219	65.38
148.062	81.38
153.897	141.38
159.727	286.38
165.55	659.38
171.367	1411.38
177.178	2187.38
182.983	2663.38
188.781	2905.38
194.574	3089.38
200.36	3216.38
206.14	3404.38
211.913	3500.38
217.681	3611.38
223.442	3719.38
229.198	3772.38
234.947	3780.38
240.69	3815.38
246.427	3872.38
252.158	3934.38
257.883	3940.38
263.602	3957.38
269.314	3967.38
275.021	3946.38
280.722	4004.38
286.416	4035.38
292.105	4109.38
297.787	4143.38
303.464	4089.38
309.134	4042.38
314.799	3957.38
320.457	3917.38
326.11	3870.38
331.757	3780.38
337.397	3737.38
343.032	3711.38
348.661	3679.38
354.284	3670.38
359.901	3596.38
365.512	3583.38
371.117	3509.38
376.716	3487.38
382.309	3446.38
387.897	3440.38
393.479	3435.38
399.054	3423.38
404.624	3410.38
410.189	3433.38
415.747	3428.38
421.299	3431.38
426.846	3433.38
432.387	3396.38
437.922	3387.38
443.451	3351.38
448.975	3313.38
454.493	3307.38
460.005	3313.38
465.511	3269.38
471.012	3303.38
476.507	3254.38
481.996	3258.38
487.479	3216.38
492.957	3246.38
498.429	3231.38
503.895	3245.38
509.356	3269.38
514.811	3349.38
520.26	3481.38
525.704	3542.38
531.142	3350.38
536.574	3163.38
542.001	3104.38
547.422	3260.38
552.838	3380.38
558.248	3268.38
563.652	3104.38
569.051	2964.38
574.445	2929.38
579.832	3002.38
585.214	3160.38
590.591	3236.38
595.962	2974.38
601.328	2777.38
606.688	2675.38
612.042	2660.38
617.391	2624.38
622.735	2589.38
628.073	2541.38
633.405	2485.38
638.732	2478.38
644.054	2444.38
649.37	2402.38
654.681	2400.38
659.986	2364.38
665.286	2369.38
670.58	2322.38
675.869	2264.38
681.153	2217.38
686.431	2185.38
691.704	2208.38
696.971	2148.38
702.233	2117.38
707.49	2080.38
712.741	2088.38
717.987	2044.38
723.228	1998.38
728.463	1992.38
733.693	1964.38
738.918	1961.38
744.137	1935.38
749.351	1901.38
754.56	1825.38
759.763	1814.38
764.961	1816.38
770.154	1802.38
775.342	1824.38
780.524	1838.38
785.702	1844.38
790.874	1809.38
796.04	1793.38
801.202	1777.38
806.358	1739.38
811.509	1727.38
816.655	1685.38
821.796	1661.38
826.931	1625.38
832.061	1614.38
837.186	1586.38
842.306	1588.38
847.421	1581.38
852.531	1563.38
857.635	1565.38
862.735	1571.38
867.829	1539.38
872.918	1510.38
878.002	1483.38
883.081	1468.38
888.155	1472.38
893.224	1398.38
898.288	1374.38
903.346	1373.38
908.4	1358.38
913.448	1374.38
918.492	1387.38
923.53	1424.38
928.563	1430.38
933.592	1387.38
938.615	1364.38
943.634	1323.38
948.647	1302.38
953.655	1262.38
958.658	1239.38
963.657	1191.38
968.65	1205.38
973.639	1193.38
978.622	1195.38
983.601	1192.38
988.574	1219.38
993.543	1231.38
998.506	1219.38
1003.465	1232.38
